Date,pm25,pm25_p
2023-09-22,12,15.0
2023-09-23,10,14.0
2023-09-24,24,12.0
2023-09-25,20,20.0
2023-09-26,19,18.51
2023-09-27,12,19.42
2023-09-28,30,15.07
2023-09-29,48,22.89
2023-09-30,28,29.49
2023-10-01,48,26.06
2023-10-02,61,39.43
2023-10-03,33,47.25
2023-10-04,20,32.95
2023-10-05,21,25.87
2023-10-06,25,21.37
2023-10-07,22,23.2
2023-10-08,18,20.66
2023-10-09,32,19.59
2023-10-10,54,26.76
2023-10-11,34,40.33
2023-10-12,26,29.92
2023-10-13,26,27.77
2023-10-14,23,25.88
2023-10-15,27,23.51
2023-10-16,26,24.82
2023-10-17,17,24.22
2023-10-18,42,19.08
2023-10-19,47,34.06
2023-10-20,58,36.08
2023-10-21,39,41.74
2023-10-22,22,35.83
2023-10-23,20,27.4
2023-10-24,12,25.19
2023-10-25,44,14.46
2023-10-26,27,37.83
2023-10-27,87,24.14
2023-10-28,100,54.5
2023-10-29,46,73.65
2023-10-30,105,35.08
2023-10-31,93,84.44
2023-11-01,97,62.4
2023-11-02,120,85.36
