temps,B
2010-01-01,51.46
2010-02-01,46.15
2010-03-01,72.19
2010-04-01,30.85
2010-05-01,48.64
2010-06-01,28.79
2010-07-01,21.73
2010-08-01,20.91
2010-09-01,25.43
2010-10-01,29.37
2010-11-01,36.89
2010-12-01,27.72
2011-01-01,49.17
2011-02-01,64.06
2011-03-01,41.28
2011-04-01,42.60
2011-05-01,33.94
2011-06-01,24.37
2011-07-01,26.72
2011-08-01,16.35
2011-09-01,15.25
2011-10-01,33.86
2011-11-01,32.91
2011-12-01,64.58
2012-01-01,80.26
2012-02-01,92.16
2012-03-01,98.05
2012-04-01,40.10
2012-05-01,32.35
2012-06-01,25.76
2012-07-01,19.22
2012-08-01,14.59
2012-09-01,15.11
2012-10-01,20.02
2012-11-01,41.46
2012-12-01,70.28
2013-01-01,55.58
2013-02-01,61.80
2013-03-01,29.97
2013-04-01,27.46
2013-05-01,29.56
2013-06-01,23.88
2013-07-01,20.85
2013-08-01,14.06
2013-09-01,10.78
2013-10-01,12.52
2013-11-01,28.17
2013-12-01,26.88
